"TOA5","MGEO_SERC","CR1000X","2443","CR1000X.Std.04.02","CPU:M_GEOSERCv21.CR1X","39106","ExoTable"
"TIMESTAMP","RECORD","Date","Time","Chlorophyll_RFU","Chlorophyll_ugL","Conductivity","FDOM_QSU","FDOM_RFU","NLF_conductivity","ODO_sat","ODO_local","ODO_MgL","Pressure_psia","Salinity_PPT","Specific_Conductivity_uScm","BGA_PE_RFU","BGA_PE_ugL","TDS_mg_L","Turbidity_FNU","Wiper_Position_mv","pH","pH_mv","Temp_C","Depth_m","Battery_v","Cable_v","Wiper_Current_ma","sn","snn"
"TS","RN","mmddyy","hhmmss","RFU","ug/L","uS/cm","QSU","RFU","uS/cm","%Sat","%SatLocal","mg/L","psia","ppt","uS/cm","RFU","ug/L","mg/L","FNU","mv","pH","mv","Celsius","meters","volts","volts","ma","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-11-30 00:00:00",7310,113020,10111,3.04,9.98,15.835,23.25,8.51,21.65,100.92,100.17,10.13,1.52,12.78,21.277,2.93,13.96,13829.73,3.33,1.19,8.06,-74.01,11.609,1.058,5.86,13.22,33.79,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:06:00",7311,113020,10711,3.01,9.9,15.794,23.43,8.58,21.6,100.69,99.94,10.11,1.52,12.75,21.228,2.91,13.89,13797.93,3.51,1.19,8.05,-73.68,11.597,1.056,5.85,13.23,33.74,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:12:00",7312,113020,11311,2.86,9.39,15.861,23.23,8.51,21.68,101,100.25,10.13,1.51,12.8,21.307,2.76,13.48,13849.3,3.46,1.2,8.06,-74.1,11.619,1.055,5.86,13.21,36.47,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:18:00",7313,113020,11911,3.05,10.01,15.931,22.96,8.41,21.76,101.29,100.54,10.15,1.51,12.85,21.384,3.24,14.78,13899.79,3.54,1.2,8.07,-74.46,11.65,1.053,5.86,13.23,36.8,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:24:00",7314,113020,12511,2.87,9.45,15.889,23.09,8.46,21.7,101.04,100.28,10.13,1.51,12.82,21.331,2.88,13.82,13865.43,3.46,1.19,8.06,-74.25,11.643,1.051,5.85,13.22,33.63,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:30:00",7315,113020,13111,3,9.84,15.986,22.81,8.35,21.82,101.6,100.85,10.17,1.51,12.89,21.449,3.13,14.47,13941.88,3.45,1.2,8.08,-74.94,11.665,1.05,5.86,13.23,34.75,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:36:00",7316,113020,13711,3.12,10.25,16.015,22.8,8.35,21.85,101.73,100.97,10.18,1.5,12.92,21.48,3.3,14.93,13962.27,3.42,1.2,8.08,-75.02,11.679,1.048,5.85,13.21,33.8,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
"2020-11-30 00:42:00",7317,113020,14311,3,9.87,16.055,22.59,8.27,21.92,101.91,101.15,10.2,1.5,12.95,21.54,3.18,14.6,14001.26,3.56,1.2,8.09,-75.48,11.666,1.047,5.85,13.21,34.63,"1sn^M^J14F102311^M^J#_","1ssn^M^J14F102115_14F101528_14F10188"
