"TOA5","MET_STRI","CR1000","36527","CR1000.Std.31.08","CPU:bt_tower20201202kk.CR1","3250","Table1"
"TIMESTAMP","RECORD","PBID","Batt_Volt_Avg","SlrW_N_Max","SlrW_N_Min","SlrW_N_Avg","SlrW_S_Max","SlrW_S_Min","SlrW_S_Avg","WS_kph_Max","WS_kph_Min","WS_kph_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTC_Max","AirTC_Min","AirTC_Avg","RH_Max","RH_Min","rhx_Avg","Rain_mm_Tot","T107_C_Avg"
"TS","RN","","Volts","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","kilometers/hour","kilometers/hour","kilometers/hour","Deg","Deg","Deg C","Deg C","Deg C","%","%","","mm","Deg C"
"","","Smp","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","WVc","WVc","WVc","Max","Min","Avg","Max","Min","Avg","Tot","Avg"
"2021-02-28 00:15:00",8477,60,13.05,0,0,0,0,0,0,12.1,5.504,8.4,314,8.99,26.29,24.46,24.84,91.8,90.3,91.1,0,28.01
"2021-02-28 00:30:00",8478,60,13.04,2.929,0,0.033,0,0,0,13.27,7.338,9.84,325.9,11.17,26.63,24.05,24.88,91.6,89.8,90.6,0,28
"2021-02-28 00:45:00",8479,60,13.04,0,0,0,0,0,0,12.42,5.221,8.96,329.8,16.36,26.29,23.74,24.41,90.7,88.5,89.8,0,27.99
"2021-02-28 01:00:00",8480,60,13.04,0,0,0,0,0,0,11.54,4.622,7.867,317.1,12.21,26.16,23.81,24.41,89.5,87.8,88.7,0,27.98
"2021-02-28 01:15:00",8481,60,13.03,0,0,0,0,0,0,7.691,0,3.375,43.49,37.06,25.78,23.98,24.42,89.1,87.5,88.1,0,27.95
"2021-02-28 01:30:00",8482,60,13.02,2.929,0,0.098,0,0,0,4.904,1.446,2.978,61.02,13.32,26.22,23.91,24.68,89.1,86.9,88.1,0,27.94
"2021-02-28 01:45:00",8483,60,13.02,0,0,0,0,0,0,14.85,2.152,7.939,32.33,23.45,26.22,23.64,24.44,90.8,88,89,3.302,27.92
"2021-02-28 02:00:00",8484,60,13.02,0,0,0,0,0,0,17.29,3.987,9.55,348.1,15.1,25.82,23.3,24.12,93.3,90.4,92.1,6.604,27.92
"2021-02-28 02:15:00",8485,60,13.01,2.93,0,0.195,0,0,0,18.2,7.656,11.53,307.8,15.91,25.38,23.23,23.71,94.3,91.1,93.2,3.556,27.92
